Student_ID,Attendance_Rate,Study_Hours_Per_Week,Previous_Score,Assignment_Completion_Rate,Internal_Assessment_Score,Class_Participation,Parental_Education_Level,Internet_Access,Extra_Curricular,Final_Exam_Score
STU_0025,73.8,8.1,57.9,62.4,49.2,3,Bachelor,Yes,No,60.36
STU_0026,81.3,6.7,80.7,75.5,62.7,1,High School,No,No,62.14
STU_0027,81.4,18.8,62.3,69.4,59.1,2,Associate,Yes,No,67.56
STU_0028,68.0,10.2,49.3,94.4,53.7,5,Associate,Yes,Yes,59.31
STU_0029,79.7,16.1,64.0,86.4,60.4,1,Associate,Yes,Yes,68.21
STU_0030,78.6,8.1,76.2,79.5,60.7,3,Master,Yes,No,73.1
STU_0031,75.5,12.9,58.6,43.1,55.8,3,Bachelor,Yes,Yes,62.97
STU_0032,73.6,3.3,80.3,75.6,59.7,3,High School,Yes,Yes,55.45
STU_0033,82.4,10.6,57.2,85.2,57.8,3,Master,Yes,Yes,60.81
STU_0034,63.5,8.5,59.1,75.6,47.9,2,Associate,Yes,Yes,52.39
STU_0035,48.3,22.6,53.4,62.2,54.0,4,Bachelor,Yes,Yes,60.89
STU_0036,74.8,6.1,77.6,75.2,54.3,3,High School,Yes,Yes,59.41
STU_0037,78.0,11.9,67.3,75.4,71.1,4,Bachelor,No,No,70.16
STU_0038,96.2,15.2,54.3,58.5,59.8,3,High School,Yes,No,69.38
STU_0039,81.0,21.0,62.5,87.2,69.2,5,Associate,Yes,Yes,81.47
STU_0040,66.0,19.6,30.0,62.7,54.8,4,High School,Yes,Yes,57.29
STU_0041,49.9,12.4,78.9,76.6,71.5,5,High School,Yes,No,71.97
STU_0042,79.0,13.3,65.6,60.7,55.9,3,High School,Yes,No,59.13
STU_0043,94.4,22.6,34.3,92.1,54.4,3,High School,Yes,Yes,64.17
STU_0044,63.4,12.3,47.6,60.4,54.5,4,High School,Yes,No,49.9
STU_0045,71.8,14.1,62.1,55.0,49.1,4,Bachelor,Yes,No,66.98
STU_0046,79.6,23.0,49.6,67.1,48.8,5,High School,Yes,No,71.73
STU_0047,71.8,37.7,79.1,61.1,83.0,3,Bachelor,Yes,No,81.31
STU_0048,89.2,14.7,73.9,91.7,65.1,4,High School,Yes,No,63.05
STU_0049,84.4,16.8,73.0,62.4,50.1,2,Master,Yes,No,63.15
STU_0050,60.5,19.3,31.5,96.1,41.8,3,Master,Yes,Yes,55.02
STU_0051,80.8,22.9,60.6,71.4,60.8,2,High School,Yes,No,59.72
STU_0052,87.4,21.3,58.2,85.2,63.4,3,Bachelor,No,No,63.49
STU_0053,75.1,9.4,54.6,65.2,49.7,5,High School,Yes,Yes,60.1
STU_0054,60.7,15.2,62.2,91.0,74.4,2,Master,Yes,No,72.62
STU_0055,91.4,21.4,52.2,82.0,57.9,3,Bachelor,Yes,Yes,61.46
STU_0056,64.3,25.2,71.0,64.1,70.1,3,High School,Yes,Yes,67.36
STU_0057,68.8,11.9,78.7,95.0,60.4,2,Associate,Yes,Yes,68.25
STU_0058,83.5,15.0,77.5,67.3,65.8,3,High School,Yes,No,64.39
STU_0059,92.6,15.9,66.1,69.7,62.8,3,Associate,Yes,No,70.71
STU_0060,93.3,13.1,96.0,82.2,69.6,2,Bachelor,Yes,Yes,79.25
STU_0061,71.2,14.8,84.0,67.5,63.8,4,Associate,Yes,No,68.36
STU_0062,92.1,3.2,66.6,46.6,51.0,5,Associate,Yes,Yes,58.88
STU_0063,74.2,38.0,61.2,96.1,74.6,2,High School,No,No,73.69
STU_0064,77.0,11.7,86.7,60.3,66.8,2,High School,Yes,No,63.71
STU_0065,71.5,12.1,82.1,53.6,67.1,3,High School,Yes,No,58.05
STU_0066,90.9,4.7,48.3,84.7,58.8,4,Bachelor,Yes,No,64.46
STU_0067,47.2,4.2,83.2,77.0,62.6,3,High School,Yes,Yes,55.07
STU_0068,72.1,16.5,65.8,74.7,72.6,1,Bachelor,Yes,Yes,61.84
STU_0069,91.6,21.4,55.9,80.4,49.2,3,Associate,No,No,63.09
STU_0070,83.3,19.5,40.3,90.7,54.0,5,High School,Yes,Yes,64.33
STU_0071,96.6,8.0,64.2,83.3,55.2,3,Bachelor,Yes,No,63.91
STU_0072,89.5,18.9,67.8,45.8,55.7,3,Associate,Yes,No,67.19
STU_0073,72.6,12.0,90.2,41.0,69.7,5,Associate,Yes,Yes,74.08
STU_0074,89.1,10.5,81.4,89.0,68.2,4,Bachelor,Yes,No,77.58
STU_0075,90.9,5.8,59.8,99.4,44.4,4,Associate,No,No,60.15
STU_0076,60.1,8.6,73.5,84.8,53.5,3,Associate,Yes,No,54.09
STU_0077,71.4,16.7,79.6,70.7,73.2,5,Bachelor,Yes,Yes,82.62
STU_0078,68.4,15.1,69.2,78.2,53.8,4,Bachelor,Yes,Yes,69.98
STU_0079,93.0,14.0,59.8,74.0,61.4,4,High School,Yes,Yes,64.1
STU_0080,96.6,3.1,60.5,80.1,52.1,4,Associate,Yes,No,63.65
STU_0081,96.4,14.1,73.4,82.5,65.1,4,High School,Yes,No,73.74
STU_0082,65.5,9.3,73.8,75.4,61.3,3,High School,Yes,No,62.23
STU_0083,84.9,15.2,63.9,72.5,62.7,3,Bachelor,Yes,Yes,78.26
STU_0084,95.7,23.2,31.3,88.3,43.1,4,Master,Yes,Yes,58.06
STU_0085,71.1,10.1,49.9,68.6,48.1,3,Master,Yes,No,51.99
STU_0086,88.3,13.5,76.7,70.0,58.2,3,High School,Yes,No,57.18
STU_0087,63.5,32.0,38.2,85.8,60.2,2,Associate,Yes,No,63.95
STU_0088,81.6,14.8,84.6,89.9,78.1,4,Bachelor,Yes,No,82.67
STU_0089,82.0,12.7,82.5,88.3,72.4,2,High School,Yes,No,73.54
STU_0090,,8.1,68.6,82.6,63.2,4,Bachelor,Yes,No,67.43
STU_0091,85.2,19.2,76.4,84.5,67.4,3,Bachelor,Yes,No,77.82
STU_0092,75.4,7.3,75.4,67.1,59.3,2,Master,Yes,Yes,65.48
STU_0093,86.3,23.7,66.4,54.9,61.7,3,High School,No,No,67.44
STU_0094,83.4,17.8,48.8,40.4,44.8,3,High School,Yes,No,60.31
STU_0095,43.9,9.5,81.5,86.6,63.6,3,Master,No,Yes,59.15
STU_0096,77.7,8.3,87.7,78.6,66.8,3,Bachelor,No,Yes,67.98
STU_0097,89.8,8.4,51.1,67.3,40.4,1,Master,Yes,Yes,57.58
STU_0098,86.5,4.2,48.2,83.0,35.7,5,High School,Yes,No,61.3
STU_0099,88.2,16.3,66.1,60.3,54.9,1,Bachelor,Yes,Yes,62.25
STU_0100,87.0,3.3,59.2,90.4,56.6,3,Bachelor,Yes,Yes,70.2
STU_0101,73.6,12.3,70.0,26.7,53.3,3,High School,Yes,Yes,51.51
STU_0102,89.3,11.9,84.9,67.1,60.4,3,Associate,Yes,Yes,77.35
STU_0103,78.0,10.8,36.6,97.1,44.2,3,Bachelor,Yes,No,61.37
STU_0104,86.2,16.2,90.1,58.1,76.0,3,High School,Yes,Yes,75.16
STU_0105,,9.5,62.3,97.1,57.2,4,High School,Yes,No,69.7
STU_0106,90.3,14.1,75.2,52.0,52.5,4,Bachelor,No,Yes,63.34
STU_0107,74.0,23.7,76.7,63.3,84.0,2,Associate,Yes,Yes,72.26
STU_0108,81.2,17.2,78.3,67.7,66.9,3,Master,No,Yes,79.27
STU_0109,73.7,10.3,68.9,88.5,55.4,3,Associate,Yes,No,61.98
STU_0110,94.2,12.9,72.1,70.7,63.3,1,High School,Yes,No,69.55
STU_0111,94.5,10.8,72.0,48.8,56.0,3,Doctorate,No,Yes,71.42
STU_0112,70.3,11.8,59.2,93.5,49.8,3,Master,No,No,63.75
STU_0113,58.2,14.3,43.4,82.8,50.4,3,High School,Yes,Yes,57.56
STU_0114,65.9,5.6,50.9,81.4,53.9,4,Bachelor,Yes,No,61.87
STU_0115,41.7,4.8,66.5,79.4,54.2,3,High School,Yes,No,57.8
STU_0116,90.0,7.7,57.0,90.9,42.2,3,High School,Yes,No,60.41
STU_0117,43.5,16.6,57.0,32.8,50.9,1,High School,Yes,No,47.47
STU_0118,62.5,17.7,93.2,79.9,82.5,4,High School,No,No,66.63
STU_0119,79.4,19.1,80.0,91.9,71.4,3,Bachelor,Yes,No,78.94
STU_0120,68.1,7.9,64.5,71.0,51.4,3,Bachelor,Yes,No,64.76
STU_0121,74.2,13.5,77.4,64.7,77.9,4,Doctorate,Yes,No,71.73
STU_0122,46.7,10.4,62.1,76.3,52.3,3,Bachelor,No,No,52.21
STU_0123,86.4,12.0,69.6,48.3,49.1,3,Associate,No,No,59.74
STU_0124,72.6,10.3,74.2,62.8,60.3,3,Bachelor,Yes,No,72.48
STU_0125,67.2,14.7,62.2,95.4,66.4,3,Doctorate,Yes,No,65.89
STU_0126,97.3,8.8,58.4,79.6,57.0,3,Bachelor,Yes,No,70.67
STU_0127,68.4,22.4,85.1,53.6,57.5,3,Bachelor,Yes,Yes,69.42
STU_0128,96.4,22.5,76.6,58.1,64.6,2,Master,Yes,Yes,74.22
STU_0129,66.5,16.3,36.4,85.2,54.7,2,High School,No,Yes,47.75
STU_0130,62.8,21.1,58.6,91.3,66.3,3,Bachelor,No,Yes,62.94
STU_0131,91.4,5.5,57.1,71.4,41.9,4,,Yes,Yes,65.37
STU_0132,66.8,23.0,59.3,80.0,71.2,3,Master,Yes,No,71.22
STU_0133,86.5,15.6,80.1,84.8,77.1,2,High School,Yes,No,77.49
STU_0134,90.7,9.1,68.3,93.0,60.4,4,Associate,Yes,No,65.08
STU_0135,88.5,8.6,48.5,76.9,53.0,4,Bachelor,Yes,Yes,67.12
STU_0136,71.9,26.9,62.6,97.3,83.6,4,High School,Yes,No,79.23
STU_0137,82.0,19.2,75.6,88.3,65.5,3,Bachelor,Yes,No,68.27
STU_0138,84.0,11.9,64.9,51.3,57.1,4,High School,Yes,No,69.32
STU_0139,45.7,5.4,59.0,82.4,64.4,1,Associate,Yes,Yes,57.15
STU_0140,79.7,23.6,72.6,89.0,77.2,2,Associate,Yes,No,79.67
STU_0141,89.9,6.8,90.7,80.4,65.9,2,Bachelor,Yes,No,78.63
STU_0142,92.1,10.5,74.5,72.0,63.7,4,Associate,Yes,No,75.45
STU_0143,89.2,11.8,86.2,38.0,71.0,1,Associate,Yes,No,68.07
STU_0144,79.6,8.6,59.9,71.0,46.7,3,Associate,Yes,No,62.01
STU_0145,89.8,11.6,67.9,70.9,59.0,3,High School,Yes,No,57.34
STU_0146,75.1,12.8,67.6,80.0,60.1,3,High School,Yes,No,66.06
STU_0147,95.6,11.4,69.7,72.1,56.5,4,High School,No,No,71.32
STU_0148,89.6,15.1,74.2,85.5,69.3,2,Bachelor,Yes,No,71.14
STU_0149,76.0,27.4,55.1,43.8,56.5,3,Bachelor,Yes,Yes,70.58
STU_0150,77.5,5.6,77.1,97.2,69.4,4,High School,Yes,Yes,78.68
STU_0151,81.7,13.9,45.2,86.7,58.2,1,High School,Yes,Yes,62.86
STU_0152,83.1,6.8,49.3,94.9,42.9,3,Bachelor,Yes,Yes,64.86
STU_0153,90.3,5.3,97.9,70.2,71.8,4,Associate,No,Yes,66.01
STU_0154,96.2,20.3,60.9,86.1,63.8,5,Master,No,Yes,70.92
STU_0155,72.1,14.5,78.2,81.5,70.1,4,Bachelor,Yes,No,80.26
STU_0156,77.1,5.1,91.8,71.4,68.0,3,Associate,Yes,Yes,75.33
STU_0157,67.1,11.6,35.6,65.0,34.3,3,Associate,Yes,Yes,51.29
STU_0158,68.3,,83.8,68.5,73.6,1,Bachelor,Yes,No,66.72
STU_0159,81.5,3.0,77.1,75.9,70.8,2,High School,Yes,No,66.65
STU_0160,73.7,11.8,91.0,66.0,74.3,2,High School,Yes,No,78.0
STU_0161,74.6,18.1,51.5,98.1,63.4,3,,No,No,60.88
STU_0162,74.5,17.1,88.3,84.2,77.4,4,Bachelor,Yes,Yes,83.92
STU_0163,71.7,10.4,57.6,32.6,50.9,3,Associate,Yes,Yes,58.77
STU_0164,64.8,20.8,82.8,68.9,58.3,3,High School,Yes,Yes,65.01
STU_0165,97.1,24.6,67.5,76.6,68.6,3,Bachelor,Yes,Yes,76.18
STU_0166,72.2,18.2,78.8,71.7,66.2,3,Associate,Yes,Yes,78.44
STU_0167,80.1,9.5,68.7,73.7,59.6,5,Associate,No,No,65.96
STU_0168,86.1,12.0,42.2,52.1,48.1,3,High School,Yes,Yes,52.28
STU_0169,79.3,27.0,30.0,82.2,50.8,3,Bachelor,Yes,Yes,62.26
STU_0170,92.7,10.8,70.9,81.6,60.3,3,Doctorate,Yes,Yes,69.9
STU_0171,72.8,17.2,64.3,62.9,50.8,1,High School,Yes,No,62.83
STU_0172,61.9,8.5,73.6,84.7,62.4,3,Associate,No,Yes,59.99
STU_0173,80.2,20.9,64.5,73.2,67.9,4,High School,Yes,Yes,70.19
STU_0174,61.0,,96.3,88.2,70.8,2,High School,No,Yes,69.55
STU_0175,66.9,12.3,71.2,48.8,45.0,1,Associate,Yes,Yes,48.53
STU_0176,98.0,16.9,61.7,96.3,78.0,2,Bachelor,Yes,Yes,78.12
STU_0177,84.6,29.7,72.7,56.5,72.8,4,Master,Yes,Yes,81.3
STU_0178,69.7,14.4,62.0,67.0,55.6,4,High School,Yes,Yes,60.97
STU_0179,91.2,11.2,69.3,62.1,66.2,3,Bachelor,Yes,No,67.57
STU_0180,62.9,10.7,51.0,62.6,48.5,3,Bachelor,Yes,No,52.36
STU_0181,88.8,20.4,67.9,78.2,74.4,4,Bachelor,Yes,No,79.05
STU_0182,78.5,16.2,61.3,30.3,57.9,4,Associate,Yes,Yes,58.37
STU_0183,87.1,17.9,52.3,89.2,50.7,4,High School,No,Yes,62.29
STU_0184,89.3,26.0,95.7,83.0,89.1,4,Associate,No,Yes,83.66
STU_0185,86.8,13.2,52.8,58.0,59.7,3,Associate,Yes,Yes,61.4
STU_0186,74.0,15.6,68.1,57.0,53.1,3,Bachelor,No,Yes,61.84
STU_0187,68.6,10.6,56.8,78.7,48.0,4,Bachelor,Yes,Yes,59.31
STU_0188,77.9,8.3,72.2,86.2,57.5,5,High School,Yes,No,72.16
STU_0189,43.8,9.2,50.2,69.7,52.9,1,High School,Yes,No,47.11
STU_0190,77.9,2.6,79.8,65.5,60.4,1,Master,No,No,65.19
STU_0191,79.5,16.8,96.5,43.4,61.2,5,Bachelor,Yes,Yes,72.57
STU_0192,79.8,15.9,56.2,90.4,61.5,3,Master,Yes,No,66.22
STU_0193,,16.6,85.0,77.4,71.6,4,High School,Yes,Yes,67.11
STU_0194,85.9,8.0,62.7,81.9,55.5,3,Bachelor,Yes,No,63.18
STU_0195,60.3,9.3,89.1,59.7,62.0,2,Bachelor,Yes,Yes,65.17
STU_0196,79.1,9.2,98.6,65.9,75.6,2,Master,Yes,Yes,78.12
STU_0197,79.4,21.9,64.7,92.9,74.9,2,High School,Yes,No,75.19
STU_0198,85.3,14.1,46.7,89.8,49.1,2,High School,No,No,57.62
STU_0199,82.2,13.2,81.3,58.9,55.1,3,Associate,Yes,Yes,72.9
STU_0200,79.9,18.7,71.1,74.1,64.4,4,Master,Yes,Yes,71.46
STU_0201,73.5,9.2,75.0,68.7,65.6,5,Master,Yes,Yes,72.73
STU_0202,78.5,15.4,63.2,79.2,58.2,3,Doctorate,Yes,No,65.31
STU_0203,96.5,31.6,55.6,66.4,55.7,3,Master,Yes,No,76.41
STU_0204,98.1,23.6,84.2,52.4,76.9,3,High School,Yes,No,86.35
STU_0205,91.9,15.3,72.5,95.0,77.4,3,High School,No,Yes,67.44
STU_0206,81.0,13.4,47.8,73.2,49.9,3,High School,Yes,No,60.83
STU_0207,77.1,16.5,77.6,91.6,62.2,1,Associate,No,No,69.79
STU_0208,62.4,25.2,74.8,58.9,67.6,1,Master,Yes,Yes,67.1
STU_0209,85.4,24.3,63.4,91.3,70.0,2,Master,Yes,Yes,79.72
STU_0210,71.5,27.3,90.7,79.9,79.0,2,High School,Yes,No,76.49
STU_0211,56.8,14.5,59.3,72.8,60.2,4,Bachelor,Yes,No,62.57
STU_0212,79.8,3.3,65.6,83.5,49.5,2,Master,Yes,No,60.15
STU_0213,97.5,30.5,78.8,67.2,77.0,4,Associate,Yes,No,82.67
STU_0214,61.5,8.3,69.1,92.7,60.6,5,High School,Yes,No,69.38
STU_0215,83.3,3.6,48.6,83.8,49.6,5,Associate,Yes,No,59.26
STU_0216,84.0,18.6,70.6,68.0,64.6,5,Associate,Yes,Yes,71.03
STU_0217,80.4,3.4,62.2,76.3,50.5,3,Bachelor,No,Yes,57.89
STU_0218,87.4,13.0,80.0,78.3,63.4,3,Associate,Yes,No,62.13
STU_0219,65.8,3.3,70.1,74.5,55.8,2,High School,Yes,No,52.94
STU_0220,75.5,10.8,69.3,95.5,62.8,4,Doctorate,Yes,Yes,79.62
STU_0221,81.8,27.3,53.3,92.3,60.5,4,Bachelor,Yes,Yes,73.64
STU_0222,67.1,15.4,64.8,94.7,65.7,4,Associate,Yes,Yes,67.69
STU_0223,68.2,13.0,81.6,82.4,72.1,3,Master,Yes,Yes,76.01
STU_0224,79.2,16.3,57.1,74.3,55.0,4,High School,Yes,Yes,67.56
STU_0225,73.7,1.9,67.5,52.1,54.4,2,High School,Yes,No,60.37
STU_0226,77.6,9.1,54.9,64.3,50.6,1,Bachelor,Yes,Yes,55.94
STU_0227,92.0,9.8,51.4,78.7,42.8,4,High School,Yes,No,57.13
STU_0228,85.8,17.6,66.8,84.8,73.3,3,Bachelor,Yes,No,74.08
STU_0229,72.9,7.3,70.4,70.0,62.1,5,High School,Yes,No,69.05
STU_0230,82.3,14.2,95.9,85.6,85.2,2,High School,Yes,Yes,80.04
STU_0231,60.4,12.3,61.6,73.8,59.1,4,Associate,Yes,No,71.53
STU_0232,51.6,9.3,67.3,72.7,43.6,3,High School,Yes,Yes,53.39
STU_0233,77.9,9.7,50.5,59.5,52.6,4,Bachelor,Yes,Yes,68.9
STU_0234,83.9,12.3,76.6,91.6,68.9,4,Bachelor,Yes,No,71.56
STU_0235,90.1,4.0,73.6,70.4,59.3,5,Master,No,No,60.67
STU_0236,90.5,18.8,88.8,79.3,80.3,3,Bachelor,Yes,Yes,83.21
STU_0237,90.4,8.3,83.6,58.0,74.7,5,High School,Yes,No,78.47
STU_0238,89.8,11.2,72.9,75.4,59.3,2,Bachelor,Yes,No,66.62
STU_0239,75.0,26.8,61.4,55.5,59.4,2,Bachelor,Yes,No,64.44
STU_0240,68.9,19.0,70.9,88.9,64.2,3,Bachelor,Yes,No,75.77
STU_0241,73.5,6.6,66.4,86.6,51.8,4,Master,Yes,Yes,69.64
STU_0242,74.9,1.7,81.3,62.7,52.1,3,Bachelor,No,No,54.64
STU_0243,82.8,16.6,79.6,61.6,55.9,4,Associate,Yes,Yes,66.64
STU_0244,58.1,11.4,63.9,99.7,65.1,4,Bachelor,Yes,No,71.03
STU_0245,91.4,14.3,47.5,70.0,61.5,2,Associate,Yes,Yes,56.86
STU_0246,67.0,18.7,86.7,84.0,89.1,5,High School,No,Yes,81.9
STU_0247,68.8,20.2,76.1,88.5,67.7,1,Bachelor,Yes,No,74.38
STU_0248,81.1,10.2,63.5,65.9,53.2,4,High School,Yes,Yes,52.16
STU_0249,77.7,12.1,75.6,93.8,75.7,3,High School,Yes,Yes,73.1
STU_0250,88.2,15.7,69.0,64.9,63.9,3,High School,Yes,Yes,59.8
STU_0251,55.8,16.2,86.5,74.9,74.0,3,Bachelor,Yes,No,66.99
STU_0252,73.3,14.2,41.0,77.7,45.9,2,Associate,No,Yes,49.44
STU_0253,,25.3,62.4,69.6,72.0,3,Bachelor,Yes,Yes,71.85
STU_0254,61.5,16.1,90.4,94.4,72.8,2,Associate,Yes,Yes,84.21
STU_0255,70.1,18.5,75.9,52.4,67.3,2,Associate,Yes,Yes,71.71
STU_0256,78.9,14.8,92.8,75.0,77.8,2,Associate,Yes,Yes,83.2
STU_0257,80.4,7.3,50.9,95.2,52.1,3,Bachelor,Yes,No,61.24
STU_0258,77.0,9.0,83.0,65.9,69.5,4,Associate,Yes,Yes,71.69
STU_0259,86.4,6.4,82.2,87.5,67.1,3,Doctorate,Yes,Yes,83.61
STU_0260,80.6,21.3,44.5,47.1,44.7,4,Master,Yes,Yes,64.43
STU_0261,57.3,5.0,63.9,55.2,50.0,3,Master,Yes,Yes,60.16
STU_0262,61.2,11.9,66.5,82.3,51.3,4,Master,Yes,Yes,61.44
STU_0263,81.3,10.6,45.3,60.2,47.6,3,Associate,Yes,No,51.65
STU_0264,74.3,10.4,64.2,74.9,62.3,3,Bachelor,Yes,Yes,67.78
STU_0265,88.4,10.9,80.2,74.0,62.1,4,Bachelor,Yes,Yes,75.72
STU_0266,70.7,27.7,62.5,95.7,66.4,1,Bachelor,No,No,63.26
STU_0267,88.0,3.8,71.4,72.6,52.6,4,Master,Yes,Yes,69.73
STU_0268,84.3,23.8,71.5,76.2,69.8,4,Bachelor,Yes,No,71.98
STU_0269,94.5,11.4,67.8,85.6,63.2,2,Doctorate,Yes,No,73.29
STU_0270,77.6,19.5,58.1,70.1,68.5,4,Associate,Yes,Yes,63.73
STU_0271,87.4,13.4,77.2,84.0,77.0,1,Master,Yes,No,82.16
STU_0272,73.7,6.8,45.8,96.0,53.9,2,Bachelor,Yes,Yes,58.28
STU_0273,47.7,24.9,68.1,61.6,66.9,1,Bachelor,Yes,No,61.19
STU_0274,76.5,23.0,87.4,79.0,73.4,4,Associate,Yes,No,73.83
STU_0275,67.7,7.1,61.7,63.7,61.4,4,Bachelor,Yes,No,56.83
STU_0276,72.3,17.3,57.8,38.0,49.3,4,Master,Yes,No,63.69
STU_0277,49.2,9.3,78.2,69.7,64.8,1,High School,No,No,58.81
STU_0278,88.2,5.2,70.3,91.2,64.1,3,Bachelor,Yes,No,73.87
STU_0279,96.1,8.3,78.4,80.4,65.0,4,Associate,Yes,No,79.39
STU_0280,98.5,24.2,68.5,49.9,70.5,2,Doctorate,Yes,Yes,86.2
STU_0281,79.6,19.7,34.6,89.7,52.7,3,Associate,Yes,No,65.13
STU_0282,73.6,11.0,84.5,93.2,78.3,2,High School,Yes,Yes,71.01
STU_0283,92.1,24.2,97.0,69.2,85.8,2,Associate,Yes,Yes,86.36
STU_0284,78.2,22.1,86.0,51.4,71.9,3,Bachelor,Yes,No,65.64
STU_0285,86.6,8.3,30.0,67.0,35.8,3,High School,Yes,Yes,52.31
STU_0286,76.8,27.1,74.3,87.4,75.8,2,Bachelor,Yes,Yes,79.96
STU_0287,67.8,10.5,61.5,66.3,46.3,2,Master,Yes,No,65.95
STU_0288,77.6,11.3,52.8,84.5,47.4,2,Master,Yes,Yes,58.8
STU_0289,87.6,3.9,69.7,90.3,63.4,2,High School,Yes,Yes,67.92
STU_0290,77.9,9.2,65.9,85.1,51.8,2,Doctorate,Yes,No,61.09
STU_0291,84.7,11.9,75.1,80.0,62.7,3,Bachelor,No,No,66.66
STU_0292,86.3,15.0,68.8,86.3,58.7,3,High School,Yes,No,60.37
STU_0293,82.1,6.8,52.3,51.9,40.9,3,High School,Yes,Yes,58.95
STU_0294,88.7,8.5,59.9,48.6,47.3,4,High School,Yes,Yes,63.8
STU_0295,84.2,27.4,57.7,71.2,61.6,4,Master,Yes,No,72.33
STU_0296,78.7,21.4,44.0,77.4,45.2,2,High School,Yes,Yes,59.49
STU_0297,95.1,23.4,48.8,79.6,57.0,1,High School,Yes,No,64.72
STU_0298,54.2,12.5,65.0,85.6,55.3,4,Bachelor,Yes,No,60.29
STU_0299,68.0,15.2,87.9,76.1,69.7,1,Bachelor,Yes,Yes,72.74
STU_0300,85.9,17.4,60.5,51.0,59.4,2,Bachelor,No,Yes,60.18
STU_0301,96.1,27.2,57.4,86.3,72.5,1,Bachelor,No,Yes,77.45
STU_0302,73.0,5.1,51.5,68.7,37.6,3,High School,No,No,45.13
STU_0303,79.8,9.7,68.4,69.9,67.4,3,Master,Yes,Yes,81.5
STU_0304,64.2,14.5,84.5,47.1,62.4,5,High School,No,Yes,62.96
STU_0305,87.7,13.4,96.0,60.8,70.2,4,Bachelor,Yes,No,78.76
STU_0306,89.5,8.5,72.0,62.9,52.4,3,Bachelor,Yes,No,67.92
STU_0307,86.3,16.7,70.0,54.3,60.7,3,High School,Yes,Yes,70.74
STU_0308,81.9,9.9,60.4,55.1,62.6,3,Doctorate,Yes,No,66.99
STU_0309,91.6,12.9,62.7,87.1,51.2,2,Associate,No,Yes,64.18
STU_0310,81.7,16.3,76.8,79.7,56.6,2,High School,Yes,No,67.46
STU_0311,81.9,10.1,63.6,65.7,56.4,2,Master,Yes,No,61.03
STU_0312,80.1,18.9,65.7,65.6,65.1,2,Bachelor,Yes,Yes,65.11
STU_0313,,20.6,67.6,85.0,68.0,2,Bachelor,No,No,72.17
STU_0314,70.1,8.6,59.7,62.9,54.6,3,Bachelor,Yes,Yes,67.63
STU_0315,67.2,9.9,67.0,79.2,52.4,5,Master,No,No,54.91
STU_0316,55.6,7.4,39.7,89.0,38.8,3,High School,Yes,Yes,41.93
STU_0317,64.0,12.8,75.7,93.4,69.5,5,High School,Yes,Yes,64.83
STU_0318,81.5,15.0,99.0,60.8,87.0,3,Associate,Yes,Yes,84.82
STU_0319,80.9,10.7,60.3,66.5,56.9,3,High School,Yes,Yes,65.62
STU_0320,53.1,14.8,73.2,83.8,70.4,3,Bachelor,Yes,No,63.94
STU_0321,64.8,9.7,79.9,86.6,61.2,2,Associate,Yes,No,75.09
STU_0322,68.1,9.9,85.9,73.9,71.1,2,High School,Yes,No,65.45
